Wall time,Step,Value
1717115914.3463662,73,1.2461593534851545e-08
1717115965.7199655,74,2.6086548476911275e-09
1717116016.564512,75,1.1893792617456711e-08
1717116067.4560666,76,5.344635845005996e-09
1717116118.6422236,77,9.60062696009345e-09
1717116169.852984,78,4.578768475482775e-09
1717116220.6442423,79,8.99985153068883e-09
1717116271.349182,80,1.0827637453303396e-08
1717116321.8070748,81,4.762555683157643e-09
1717116373.0874684,82,1.1169755786966107e-08
1717116424.49659,83,7.162691328943538e-09
1717116475.9584155,84,6.328661150689641e-09
1717116526.5511742,85,9.129982103672774e-09
1717116577.7412767,86,7.701268067705769e-09
1717116628.6207871,87,6.195835844380326e-09
1717116679.3225164,88,1.2001179605647394e-08
1717116730.6325293,89,2.5909192569173456e-09
1717116781.6368341,90,9.62725277275922e-09
1717116832.3440304,91,8.071867618753004e-09
1717116883.2737546,92,7.851524763680118e-09
1717116934.666452,93,7.697047443855354e-09
1717116985.6908937,94,7.228494691702281e-09
1717117036.4182456,95,9.676609735720376e-09
1717117087.1888382,96,5.2895505753269845e-09
1717117137.6719716,97,9.640260145715729e-09
1717117188.3394876,98,6.238847660711144e-09
1717117239.4120128,99,7.802615442642491e-09
1717117289.831396,100,7.838845128560479e-09
1717117340.6783478,101,9.113159116225233e-09
1717117391.342055,102,9.501631481612094e-09
1717117441.5426517,103,5.400314417869367e-09
1717117492.7367866,104,1.1146894074443026e-08
1717117543.7083242,105,2.9211491003877654e-09
1717117594.2049415,106,9.458733352118998e-09
1717117644.7330441,107,6.0120952660724924e-09
1717117695.949798,108,7.2305685883122806e-09
1717117747.0588615,109,9.161823522063628e-10
1717117798.2306268,110,4.734392877736582e-09
1717117849.1796136,111,1.144946004671965e-08
1717117900.1367097,112,4.071014192419398e-09
1717117950.843566,113,5.3401061350655255e-09
1717118001.5535524,114,7.902234422374477e-09
1717118052.496514,115,4.790658092446165e-09
1717118103.6049309,116,2.5767996625347678e-09
1717118154.63391,117,4.091312622023224e-09
1717118205.2426076,118,1.0275909900769875e-08
1717118256.1145225,119,4.369612227606012e-09
1717118307.3709729,120,5.61024071643601e-09
1717118358.3426754,121,4.246309082134303e-09
1717118409.70869,122,4.327096014833387e-09
1717118461.3129401,123,4.480754878244397e-09
1717118512.4109,124,5.688187254548893e-09
1717118563.675464,125,8.63311733212413e-09
1717118614.6797502,126,2.479609184646847e-09
1717118665.2579188,127,1.3641621166016193e-09
1717118716.2720895,128,7.052632255977187e-09
1717118766.8855622,129,8.385721450565597e-09
1717118818.564946,130,4.247568963222648e-09
1717118869.561265,131,3.75613451453205e-09
1717118920.897869,132,8.281842434065823e-10
1717118971.7045636,133,7.4119808068928705e-09
1717119022.3514922,134,6.201776425740491e-09
1717119073.2885005,135,1.9235124604222165e-09
1717119124.5696833,136,9.543189571914468e-10
1717119176.0146267,137,9.039427872892247e-09
1717119227.0295115,138,1.2021870166023518e-09
1717119278.430165,139,4.741644854533433e-09
1717119329.2600734,140,4.8264858776292385e-09
1717119380.3025224,141,4.176995638260905e-09
1717119431.9201918,142,3.7817802223116814e-09
1717119483.1332183,143,4.145388921017457e-09
1717119535.173171,144,4.451171875530235e-09
1717119586.3887546,145,5.162613003761862e-09
1717119637.8638804,146,5.545835346509875e-09
1717119689.4561524,147,3.6516845103307105e-09
1717119741.0473707,148,1.2232903578990317e-09
1717119792.398791,149,6.709509836611005e-09
1717119843.4167464,150,5.603551400668039e-09
1717119893.9030423,151,2.2912558517163006e-09
1717119944.9627423,152,6.741408320465325e-09
1717119995.9407363,153,6.3444156594982815e-09
1717120046.6099784,154,9.242999698955146e-10
1717120097.2643738,155,2.3971946649936626e-09
1717120147.722168,156,1.0095213553995563e-08
1717120199.158228,157,2.58012522458273e-09
1717120250.4735222,158,1.32197619517882e-09
1717120302.0095077,159,4.077913562383628e-09
1717120353.1322563,160,1.0431995711712716e-08
1717120404.5010922,161,6.400328600442151e-10
1717120455.9012456,162,3.6236325051675067e-10
1717120507.6611955,163,8.599625012095657e-09
1717120558.6227605,164,2.2135344668328116e-09
1717120609.7822466,165,3.5496905415044466e-10
1717120661.229501,166,6.665658247584361e-09
1717120712.4675548,167,1.6925584267468707e-09
1717120763.9415352,168,3.2341280764569547e-09
1717120815.41981,169,3.6104446099471943e-09
1717120866.7144077,170,4.133371866998914e-09
1717120917.6707673,171,1.720211084688117e-09
1717120969.024169,172,4.054417246379671e-09
1717121020.271376,173,3.3730975790291495e-09
1717121071.3801057,174,2.2041688474416787e-09
1717121122.4390464,175,4.001935227648801e-09
1717121173.8730474,176,2.725716985452209e-09
1717121225.084186,177,2.886010763702984e-09
1717121276.1747973,178,6.669774066381251e-09
1717121327.6006374,179,1.7675266805738943e-09
1717121378.9181194,180,1.368371860266393e-09
1717121430.1833444,181,6.0069949014973645e-09
1717121481.4453013,182,2.625215822504856e-09
1717121533.1098237,183,1.5937164921098201e-09
1717121585.0777142,184,6.081447345707147e-09
1717121636.5009665,185,2.4100403894777855e-09
1717121688.103277,186,1.3721734859473145e-09
1717121739.0051324,187,5.30076071925123e-09
1717121791.2060897,188,2.203012883228439e-09
1717121842.5579536,189,2.1882224920943827e-09
1717121893.862848,190,4.556379273878974e-09
1717121945.464461,191,2.594960468726981e-09
1717121996.7462578,192,2.4023076861112713e-09
1717122048.4226131,193,4.896658190034486e-09
1717122100.0164135,194,1.003945149236074e-09
1717122151.2867835,195,4.2590939663966765e-09
1717122203.392001,196,2.61762145292721e-09
1717122254.6775336,197,3.1632658714642048e-09
1717122306.1709845,198,2.960374168026192e-09
1717122357.2885437,199,2.4919262209266435e-09
1717122409.0578845,200,2.7799738067102453e-09
1717122460.4258509,201,4.446337076302598e-09
1717122511.8300214,202,1.8863122175361013e-09
1717122563.062484,203,1.5649002094164643e-09
1717122614.7322261,204,4.84789675070374e-09
1717122666.4973752,205,4.964071931290448e-10
1717122717.7802534,206,4.878315529310839e-09
1717122769.5565116,207,1.1320980819462534e-09
1717122821.6559083,208,3.4465474918476957e-09
1717122873.2966368,209,1.9467500944614358e-09
1717122925.4187102,210,2.691031175672265e-09
1717122977.0196643,211,1.9843906517991172e-09
1717123028.3170645,212,5.098449218365886e-09
1717123079.7040784,213,1.367904234328421e-09
1717123130.9995015,214,2.0523285293450044e-09
1717123182.3308475,215,3.035835138831544e-09
1717123233.55945,216,2.766614048965721e-09
1717123285.1455522,217,1.7738173152537229e-09
1717123336.6697888,218,3.7064546987153335e-09
1717123387.9595118,219,1.5754418880575827e-09
1717123439.3301177,220,3.4702967166566623e-09
1717123490.888943,221,1.598907783950665e-09
1717123542.7733998,222,4.61956917163775e-09
1717123594.2342627,223,1.0432642527646863e-09
1717123645.865167,224,3.8244358790962e-09
1717123696.9951522,225,2.556921785412669e-09
1717123748.1302955,226,1.5841469247490636e-09
